39676 39655 0 0 0 0 0 56 96 0 0   0 0 0	0 0 0	0 0 0	0 0 -9999 0 1 0 0 0 1 0 0  0 0 0
39979 39965 0.00304338 -4.70252e-06 -0.00122173 0 -0.0523599 53 143 28 0   0.00304338 -4.70252e-06 -0.00122173	0 0 0	0 0 0	0 0 -9999 0 1 0 0 0 1 0 0  0 0 0
40181 40164 -0.00626493 0.000101411 -0.016057 0 -0.200713 40 66 166 0   -0.00626493 0.000101411 -0.016057	0 0 0	0 0 0	0 0 -9999 0 1 0 0 0 1 0 0  0 0 0
40383 40364 -0.00709168 -1.27402e-05 -0.292527 0 -1.50098 58 68 1713 1   -0.00709168 -1.27402e-05 -0.292527	0 0 0	0 0 0	0 0 -9999 0 1 0 0 0 1 0 0  0 0 0
40551 40555 -0.00683335 -9.11532e-05 -0.506872 0 -1.3439 71 43 2788 1   -0.00683335 -9.11532e-05 -0.506872	0 0 0	0 0 0	0 0 -9999 0 1 0 0 0 1 0 0  0 0 0
40820 40816 -0.00701827 -3.51374e-05 -0.894687 0 -1.41372 83 -27 4849 1   -0.00701827 -3.51374e-05 -0.894687	0 0 0	0 0 0	0 0 -9999 0 1 0 0 0 1 0 0  0 0 0
41022 41012 -0.0069035 -0.00017462 -1.11599 0 -1.37008 81 -60 6110 1   -0.0069035 -0.00017462 -1.11599	0 0 0	0 0 0	0 0 -9999 0 1 0 0 0 1 0 0  0 0 0
41224 41212 -0.00688936 -0.00026263 -1.38751 0 -1.37881 91 -92 7678 1   -0.00688936 -0.00026263 -1.38751	0 0 0	0 0 0	0 0 -9999 0 1 0 0 0 1 0 0  0 0 0
41426 41412 -0.00638131 -0.00632531 -1.51542 0 -0.0872665 131 -133 8331 1   -0.00638131 -0.00632531 -1.51542	0 0 0	0 0 0	0 0 -9999 0 1 0 0 0 1 0 0  0 0 0
41628 41612 -0.00606217 -0.0245776 -1.59062 0 -0.811578 274 -275 8845 1   -0.00606217 -0.0245776 -1.59062	0 0 0	0 0 0	0 0 -9999 0 1 0 0 0 1 0 0  0 0 0
